name,label,departement
NE001_01_01,Agadez,NE001_01
NE001_02_01,Aderbissinat,NE001_02
NE001_03_01,Arlit,NE001_03
NE001_04_01,Bilma,NE001_04
NE001_05_01,Iférouane,NE001_05
NE001_06_01,Ingall,NE001_06
NE001_07_01,Tchirozérine,NE001_07
NE002_01_01,Diffa,NE002_01
NE002_02_01,Bosso,NE002_02
NE002_03_01,Goudoumaria,NE002_03
NE002_04_01,Maïné-Soroa,NE002_04
NE002_05_01,N'Guigmi,NE002_05
NE002_06_01,N'Gourti,NE002_06
NE003_01_01,Dosso,NE003_01
NE003_02_01,Boboye,NE003_02
NE003_03_01,Dioundiou,NE003_03
NE003_04_01,Dogondoutchi,NE003_04
NE003_05_01,Falmey,NE003_05
NE003_06_01,Gaya,NE003_06
NE003_07_01,Loga,NE003_07
NE003_08_01,Tibiri,NE003_08
NE004_01_01,Maradi,NE004_01
NE004_02_01,Aguié,NE004_02
NE004_03_01,Bermo,NE004_03
NE004_04_01,Dakoro,NE004_04
NE004_05_01,Gazaoua,NE004_05
NE004_06_01,Guidan Roumdji,NE004_06
NE004_07_01,Madarounfa,NE004_07
NE004_08_01,Mayahi,NE004_08
NE004_09_01,Tessaoua,NE004_09
NE005_01_01,Tahoua,NE005_01
NE005_02_01,Abalak,NE005_02
NE005_03_01,Bagaroua,NE005_03
NE005_04_01,Birni N'Konni,NE005_04
NE005_05_01,Bouza,NE005_05
NE005_06_01,Illéla,NE005_06
NE005_07_01,Keita,NE005_07
NE005_08_01,Madaoua,NE005_08
NE005_09_01,Malbaza,NE005_09
NE005_10_01,Tassara,NE005_10
NE005_11_01,Tchintabaraden,NE005_11
NE005_12_01,Tillia,NE005_12
NE006_01_01,Tillabéri,NE006_01
NE006_02_01,Abala,NE006_02
NE006_03_01,Ayérou,NE006_03
NE006_04_01,Balleyara,NE006_04
NE006_05_01,Banibangou,NE006_05
NE006_06_01,Bankilaré,NE006_06
NE006_07_01,Filingué,NE006_07
NE006_08_01,Gothèye,NE006_08
NE006_09_01,Kollo,NE006_09
NE006_10_01,Ouallam,NE006_10
NE006_11_01,Say,NE006_11
NE006_12_01,Téra,NE006_12
NE006_13_01,Torodi,NE006_13
NE007_01_01,Zinder,NE007_01
NE007_02_01,Belbedji,NE007_02
NE007_03_01,Damagaram Takaya,NE007_03
NE007_04_01,Dungass,NE007_04
NE007_05_01,Gouré,NE007_05
NE007_06_01,Kantché,NE007_06
NE007_07_01,Magaria,NE007_07
NE007_08_01,Mirriah,NE007_08
NE007_09_01,Takeita,NE007_09
NE007_10_01,Tanout,NE007_10
NE007_11_01,Tesker,NE007_11
NE008_01_01,Niamey I,NE008_01
NE008_02_01,Niamey II,NE008_02
NE008_03_01,Niamey III,NE008_03
NE008_04_01,Niamey IV,NE008_04
NE008_05_01,Niamey V,NE008_05
